
=== Parasoft C/C++test - Code Coverage Report ===

* LC - Line Coverage
* DC - Decision (Branch) Coverage
* SCC - Simple Condition Coverage
* MCDC - Modified Condition Decision Coverage

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/buffer/include/iox/detail/stack.inl LC=96% 43/45   DC=89% 16/18   SCC=89% 16/18  MCDC=78% 7/9   
  iox::vector<T1, unsigned long>::erase(T1 *) LC=100% 10/10  DC=100% 4/4    SCC=100% 6/6   MCDC=100% 3/3  
  iox::vector<T1, unsigned long>::front() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::front() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::operator =(const iox::vector<T1, unsigned long>&) LC=100% 11/11  DC=83% 5/6     SCC=83% 5/6    MCDC=67% 2/3   
  iox::vector<T1, unsigned long>::operator =(iox::vector<T1, unsigned long>&&) LC=100% 12/12  DC=83% 5/6     SCC=83% 5/6    MCDC=67% 2/3   
  iox::vector<T1, unsigned long>::operator [](unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::operator [](unsigned long) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::pop_back() LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::vector<T1, unsigned long>::push_back(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::push_back(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::size() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::vector(const iox::vector<T1, unsigned long>&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::vector(iox::vector<T1, unsigned long>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::vector(unsigned long) LC=100% 5/5    DC=100% 4/4    SCC=83% 5/6    MCDC=67% 2/3   
  iox::vector<T1, unsigned long>::vector(unsigned long, const T1 &) LC=100% 4/4    DC=100% 4/4    SCC=88% 7/8    MCDC=75% 3/4   
  iox::vector<T1, unsigned long>::~vector() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/functional_interface.inl LC=97% 67/69   DC=90% 18/20   SCC=100% 6/6   MCDC=100% 3/3  

  T1 & iox::internal::AndThenWithValue<T1, T2>::and_then<T1>(const T1 &) & LC=100% 6/6    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  T1 & iox::internal::OrElseWithValue<T1, T2>::or_else<T1>(const T1 &) & LC=100% 6/6    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  T1 && iox::internal::AndThenWithValue<T1, T2>::and_then<T1>(const T1 &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  T1 && iox::internal::OrElseWithValue<T1, T2>::or_else<T1>(const T1 &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  T2 & iox::internal::ExpectWithValue<T1, T2>::expect<T1>(const T1 &) & LC=100% 6/6    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  T2 && iox::internal::ExpectWithValue<T1, T2>::expect<T1>(const T1 &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  T2 iox::internal::ValueOr<T1, T2>::value_or<T1>(T1 &&) && LC=75% 3/4     DC=50% 1/2     SCC=N/A        MCDC=N/A       
  T2 iox::internal::ValueOr<T1, T2>::value_or<T1>(T1 &&) const & LC=75% 3/4     DC=50% 1/2     SCC=N/A        MCDC=N/A       
  const T1 & iox::internal::AndThenWithValue<T1, T2>::and_then<T1>(const T1 &) const & LC=100% 6/6    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  const T1 & iox::internal::OrElseWithValue<T1, T2>::or_else<T1>(const T1 &) const & LC=100% 6/6    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  const T1 && iox::internal::AndThenWithValue<T1, T2>::and_then<T1>(const T1 &) const && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  const T1 && iox::internal::OrElseWithValue<T1, T2>::or_else<T1>(const T1 &) const && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  const T2 & iox::internal::ExpectWithValue<T1, T2>::expect<T1>(const T1 &) const & LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  const T2 && iox::internal::ExpectWithValue<T1, T2>::expect<T1>(const T1 &) const && LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::AndThen<T1>::and_then(const iox::function_ref<void ()> &) & LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::internal::AndThen<T1>::and_then(const iox::function_ref<void ()> &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::AndThen<T1>::and_then(const iox::function_ref<void ()> &) const & LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::AndThen<T1>::and_then(const iox::function_ref<void ()> &) const && LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::OrElse<T1>::or_else(const iox::function_ref<void ()> &) & LC=100% 4/4    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::internal::OrElse<T1>::or_else(const iox::function_ref<void ()> &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::OrElse<T1>::or_else(const iox::function_ref<void ()> &) const & LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::OrElse<T1>::or_else(const iox::function_ref<void ()> &) const && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::internal::Expect<T1>::expect<T1>(const T1 &) const LC=100% 5/5    DC=100% 2/2    SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/newtype.inl LC=100% 21/21  DC=50% 2/4     SCC=50% 2/4    MCDC=0% 0/2    

  iox::NewType<T1, T2, T3>::NewType() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::NewType<T1, T2, T3>::NewType(const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::NewType<T1, T2, T3>::NewType(const iox::NewType<T1, T2, T3>&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::NewType<T1, T2, T3>::NewType(iox::NewType<T1, T2, T3>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::NewType<T1, T2, T3>::NewType(iox::newtype::internal::ProtectedConstructor_t, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::NewType<T1, T2, T3>::operator =(T2 &&) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::NewType<T1, T2, T3>::operator =(const T2 &) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::NewType<T1, T2, T3>::operator =(const iox::NewType<T1, T2, T3>&) LC=100% 4/4    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::NewType<T1, T2, T3>::operator =(iox::NewType<T1, T2, T3>&&) LC=100% 4/4    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::NewType<T1, T2, T3>::operator T2() const LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/newtype/arithmetic.hpp LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::newtype::operator *(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator +(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator -(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator /(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/newtype/comparable.hpp LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::newtype::operator !=(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator ==(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/newtype/decrementable.hpp LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::newtype::operator --(T2 &)  LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator --(T2 &, int) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/newtype/incrementable.hpp LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::newtype::operator ++(T2 &)  LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator ++(T2 &, int) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/newtype/internal.hpp LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

  T1::value_type & iox::newtype::internal::newTypeRefAccessor<T1>(T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  T1::value_type iox::newtype::internal::newTypeAccessor<T1>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/newtype/sortable.hpp LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::newtype::operator <(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator <=(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator >(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::newtype::operator >=(const T2 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/polymorphic_handler.inl LC=96% 25/26   DC=100% 4/4    SCC=100% 8/8   MCDC=100% 4/4  

  bool iox::PolymorphicHandler<T1, T2, T3>::set<T1>(iox::StaticLifetimeGuard<T1>) LC=100% 3/3    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::PolymorphicHandler<T1, T2, T3>::PolymorphicHandler() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::PolymorphicHandler<T1, T2, T3>::finalize() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::PolymorphicHandler<T1, T2, T3>::get() LC=100% 5/5    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::PolymorphicHandler<T1, T2, T3>::getCurrentRelaxed() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::PolymorphicHandler<T1, T2, T3>::getCurrentSync() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::PolymorphicHandler<T1, T2, T3>::getDefault() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::PolymorphicHandler<T1, T2, T3>::guard() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::PolymorphicHandler<T1, T2, T3>::reset() LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::PolymorphicHandler<T1, T2, T3>::self() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::PolymorphicHandler<T1, T2, T3>::setHandler(T1 &) LC=100% 7/7    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::detail::DefaultHooks<T1>::onSetAfterFinalize(T1 &, T1 &) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/include/iox/detail/static_lifetime_guard.inl LC=100% 22/22  DC=90% 9/10    SCC=90% 9/10   MCDC=80% 4/5   

  T1 & iox::StaticLifetimeGuard<T1>::instance<T1...>(T1 &&...) LC=100% 9/9    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::StaticLifetimeGuard<T1>::StaticLifetimeGuard() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::StaticLifetimeGuard<T1>::StaticLifetimeGuard(const iox::StaticLifetimeGuard<T1>&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::StaticLifetimeGuard<T1>::StaticLifetimeGuard(iox::StaticLifetimeGuard<T1>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::StaticLifetimeGuard<T1>::count() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::StaticLifetimeGuard<T1>::destroy() LC=100% 6/6    DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   
  iox::StaticLifetimeGuard<T1>::setCount(unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::StaticLifetimeGuard<T1>::~StaticLifetimeGuard() LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/design/source/functional_interface.cpp LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    

  iox::internal::print_expect_message(const char *) LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/filesystem/include/iox/detail/filesystem.inl LC=100% 72/72  DC=100% 30/30  SCC=100% 24/24 MCDC=100% 12/12 

  bool iox::doesEndWithPathSeparator<unsigned long>(const iox::string<unsigned long> &) LC=100% 7/7    DC=100% 6/6    SCC=100% 4/4   MCDC=100% 2/2  
  bool iox::isValidFileName<unsigned long>(const iox::string<unsigned long> &) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  bool iox::isValidPathEntry<unsigned long>(const iox::string<unsigned long> &, iox::RelativePathComponents) LC=100% 16/16  DC=100% 8/8    SCC=100% 8/8   MCDC=100% 4/4  
  bool iox::isValidPathToDirectory<(unsigned long)1023>(const iox::string<T1> &)::[lambda(const T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToDirectory<(unsigned long)107>(const iox::string<T1> &)::[lambda(const T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToDirectory<(unsigned long)128>(const iox::string<T1> &)::[lambda(const T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToDirectory<(unsigned long)767>(const iox::string<T1> &)::[lambda(const T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToDirectory<unsigned long>(const iox::string<unsigned long> &) LC=100% 19/19  DC=100% 10/10  SCC=100% 4/4   MCDC=100% 2/2  
  bool iox::isValidPathToFile<(unsigned long)1023>(const iox::string<T1> &)::[lambda(const T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToFile<(unsigned long)1023>(const iox::string<T1> &)::[lambda(const T1 &) (instance 2)] LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToFile<(unsigned long)107>(const iox::string<T1> &)::[lambda(const T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToFile<(unsigned long)107>(const iox::string<T1> &)::[lambda(const T1 &) (instance 2)] LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToFile<(unsigned long)128>(const iox::string<T1> &)::[lambda(const T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToFile<(unsigned long)128>(const iox::string<T1> &)::[lambda(const T1 &) (instance 2)] LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::isValidPathToFile<unsigned long>(const iox::string<unsigned long> &) LC=100% 11/11  DC=100% 4/4    SCC=100% 6/6   MCDC=100% 3/3  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/filesystem/source/filesystem.cpp LC=96% 55/57   DC=100% 32/32  SCC=100% 32/32 MCDC=100% 16/16 

  iox::operator <<(iox::log::LogStream &, iox::access_rights) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::operator <<(std::ostream&, iox::access_rights) LC=0% 0/2      DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::finishEntry<T1>(T1 &, bool, bool) LC=100% 5/5    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  void iox::outputToStream<T1>(T1 &, const char *, bool &) LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  void iox::printAccessControl<T1>(T1 &, iox::access_rights) LC=100% 7/7    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  void iox::printGroupPermissions<T1>(T1 &, iox::access_rights) LC=100% 9/9    DC=100% 6/6    SCC=100% 6/6   MCDC=100% 3/3  
  void iox::printOtherPermissions<T1>(T1 &, iox::access_rights) LC=100% 9/9    DC=100% 6/6    SCC=100% 6/6   MCDC=100% 3/3  
  void iox::printOwnerPermissions<T1>(T1 &, iox::access_rights) LC=100% 9/9    DC=100% 6/6    SCC=100% 6/6   MCDC=100% 3/3  
  void iox::printSpecialBits<T1>(T1 &, iox::access_rights) LC=100% 10/10  DC=100% 6/6    SCC=100% 6/6   MCDC=100% 3/3  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/functional/include/iox/detail/function_ref.inl LC=100% 17/17  DC=50% 1/2     SCC=67% 4/6    MCDC=33% 1/3   

  iox::function_ref<T1 (T2...)>::function_ref(T1 (&)(T2...)) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::function_ref<T1 (T2...)>::function_ref(T1 (&)(T2...))::[lambda(void *, T2...) (instance 1)] LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::function_ref<T1 (T2...)>::function_ref(iox::function_ref<T1 (T2...)>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::function_ref<T1 (T2...)>::function_ref<T1, T2>(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::function_ref<T1 (T2...)>::function_ref<T1, T2>(T1 &&)::[lambda(void *, T2...) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::function_ref<T1 (T2...)>::operator ()(T2...) const LC=100% 2/2    DC=N/A         SCC=75% 3/4    MCDC=50% 1/2   
  iox::function_ref<T1 (T2...)>::operator =(iox::function_ref<T1 (T2...)>&&) & LC=100% 6/6    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::function_ref<T1 (T2...)>::swap(iox::function_ref<T1 (T2...)>&) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/functional/include/iox/detail/storable_function.inl LC=100% 70/70  DC=67% 8/12    SCC=64% 9/14   MCDC=29% 2/7   

  T2 iox::storable_function<unsigned long, T2 (T3...)>::invoke<T1>(void *, T3 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<T1, T2 (T3...)>::storable_function<T1, T2>(T1 &, T2 (T1::*)(T3...))::[lambda(T3...) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<T1, T2 (T3...)>::storable_function<T1, T2>(const T1 &, T2 (T1::*)(T3...) const)::[lambda(T3...) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::copyFreeFunction(const iox::storable_function<unsigned long, T2 (T3...)>&, iox::storable_function<unsigned long, T2 (T3...)>&) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::invokeFreeFunction(void *, T3 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::moveFreeFunction(iox::storable_function<unsigned long, T2 (T3...)>&, iox::storable_function<unsigned long, T2 (T3...)>&) LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::operations::copy(const iox::storable_function<unsigned long, T2 (T3...)>&, iox::storable_function<unsigned long, T2 (T3...)>&) const LC=100% 2/2    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::storable_function<unsigned long, T2 (T3...)>::operations::destroy(iox::storable_function<unsigned long, T2 (T3...)>&) const LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::storable_function<unsigned long, T2 (T3...)>::operations::move(iox::storable_function<unsigned long, T2 (T3...)>&, iox::storable_function<unsigned long, T2 (T3...)>&) const LC=100% 2/2    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
